SCOPUS_ID,eid,Author,title of paper,cit_count,uni_name,city,country,type
84875806378,2-s2.0-84875806378,Wall T.,Divorce as an Influence in Return Migration to Rural Areas,9,"Desert Research Institute Reno, Division of Atmospheric Sciences",Reno,United States,Article
84875035033,2-s2.0-84875035033,Hong S.,Wind speed retrieval based on sea surface roughness measurements from spaceborne microwave radiometers,10,Korea Meteorological Administration,,South Korea,Article
84880406267,2-s2.0-84880406267,Cheng M.,Deceleration in the Earth's oblateness,218,The University of Texas at Austin,Austin,United States,Article
84929757533,2-s2.0-84929757533,Martin S.,An introduction to ocean remote sensing,113,"University of Washington, Seattle",Seattle,United States,Book
84880964708,2-s2.0-84880964708,Nirchio F.,XMOD2 - An improved geophysical model function to retrieve sea surface wind fields from Cosmo-SkyMed X-band data,14,Agenzia Spaziale Italiana,Rome,Italy,Article
84876576043,2-s2.0-84876576043,Zheng C.,Assessing the China Sea wind energy and wave energy resources from 1988 to 2009,113,PLA University of Science and Technology,Nanjing,China,Article
84949778398,2-s2.0-84949778398,Johnson K.M.,Rural retirement destinations: Natural decrease and the shared demographic destinies of elderly and hispanics,7,University of New Hampshire Durham,Durham,United States,Chapter
84892915623,2-s2.0-84892915623,Voynova Y.G.,Wind to zooplankton: Ecosystem-wide influence of seasonal wind-driven upwelling in and around the Delaware Bay,4,"College of Earth, Ocean and Environment",Newark,United States,Article
84878932814,2-s2.0-84878932814,Jordà G.,On the interpretation of the steric and mass components of sea level variability: The case of the Mediterranean basin,24,CSIC-UIB - Instituto Mediterraneo de Estudios Avanzados (IMEDEA),Esporlas,Spain,Article
84884370787,2-s2.0-84884370787,Doody D.,Comparison of wind speeds from QuikSCAT scatterometry and surface buoys for wind resource estimation in the Irish Sea,2,University College Cork,Cork,Ireland,Conference Paper
84872288871,2-s2.0-84872288871,Masters D.,"Comparison of Global Mean Sea Level Time Series from TOPEX/Poseidon, Jason-1, and Jason-2",55,University of Colorado Boulder,Boulder,United States,Article
84865757414,2-s2.0-84865757414,Mercury M.,Global cloud cover for assessment of optical satellite observation opportunities: A HyspIRI case study,23,Jet Propulsion Laboratory,Pasadena,United States,Article
84865459963,2-s2.0-84865459963,Chiang C.,Population study on chronic and acute conjunctivitis associated with ambient environment in urban and rural areas,4,China Medical University Hospital Taichung,Taichung,Taiwan,Article
84866000379,2-s2.0-84866000379,Folkema A.,"Epidemiology of ehrlichiosis and anaplasmosis among American Indians in the United States, 2000-2007",3,National Center for Emerging and Zoonotic Infectious Diseases,Atlanta,United States,Article
84862897440,2-s2.0-84862897440,Grodsky S.A.,Does direct impact of SST on short wind waves matter for scatterometry?,19,University of Maryland,College Park,United States,Article
84864844035,2-s2.0-84864844035,Fangohr S.,An estimate of structural uncertainty in QuikSCAT wind vector retrievals,4,University of Southampton,Southampton,United Kingdom,Article
84858173226,2-s2.0-84858173226,Karch A.,Vertical diffusion and the policy-making process: The politics of embryonic stem cell research,41,University of Minnesota Twin Cities,Minneapolis,United States,Article
84863393658,2-s2.0-84863393658,Smith K.J.,Cost-effectiveness of adult vaccination strategies using pneumococcal conjugate vaccine compared with pneumococcal polysaccharide vaccine,106,University of Pittsburgh School of Medicine,Pittsburgh,United States,Article
84856966334,2-s2.0-84856966334,Bentamy A.,Matching ASCAT and QuikSCAT winds,58,IFREMER Institut Francais de Recherche pour l'Exploitation de la Mer,Plouzane,France,Article
84874529910,2-s2.0-84874529910,Klaus D.,Evaluation of two cloud parameterizations and their possible adaptation to arctic climate conditions,6,Alfred-Wegener-Institut Helmholtz-Zentrum für Polar- und Meeresforschung,Bremerhaven,Germany,Article
84917381187,2-s2.0-84917381187,Anderson T.L.,Tapping water markets,18,Hoover Institution,Stanford,United States,Book
82455219036,2-s2.0-82455219036,Ward B.,Distinguishing entry-level RD and DTR practice: Results from the 2010 commission on dietetic registration entry-level dietetics practice audit,5,Weill Cornell Medicine,New York,United States,Article
84856362455,2-s2.0-84856362455,Walker W.L.,Geography or pathology? Regional variation in atrial septal defect closure rates and techniques,1,OHSU School of Medicine,Portland,United States,Article
80053004334,2-s2.0-80053004334,Marin-McGee M.,Enhancement of flow-like structures in hyperspectral imagery using tensor nonlinear anisotropic diffusion,2,University of Puerto Rico-Mayaguez,Mayaguez,Puerto Rico,Conference Paper
79960131148,2-s2.0-79960131148,Peralta J.,Counting those who count: The impact of Latino population growth on redistricting in southern states,6,University of West Georgia,Carrollton,United States,Article
79956367879,2-s2.0-79956367879,Ward B.,Entry-Level Dietetics Practice Today: Results from the 2010 Commission on Dietetic Registration Entry-Level Dietetics Practice Audit,22,Weill Cornell Medicine,New York,United States,Article
79955754487,2-s2.0-79955754487,Chao D.L.,Planning for the control of pandemic influenza A (H1N1) in Los Angeles County and the United States,21,Fred Hutchinson Cancer Research Center,Seattle,United States,Article
79953201197,2-s2.0-79953201197,Flagg D.D.,Sensitivity of mesoscale model urban boundary layer meteorology to the scale of urban representation,34,York University,Toronto,Canada,Article
79956137362,2-s2.0-79956137362,Waining M.,Evaluation of the status of canine hydrotherapy in the UK,6,Royal Veterinary College University of London,London,United Kingdom,Article
47249146139,2-s2.0-47249146139,Niu Z.,Implementing and evaluating security controls for an object-based storage system,14,Wuhan National Laboratory for Optoelectronics,Wuhan,China,Conference Paper
34548534587,2-s2.0-34548534587,Oscós-Sánchez M.,Healing wounded relationships to reduce Latino youth violence,9,University of Texas at San Antonio,San Antonio,United States,Article
33846174633,2-s2.0-33846174633,Bossarte R.,"Characteristics of homicide followed by suicide incidents in multiple states, 2003-04",96,National Center for Injury Prevention and Control,Atlanta,United States,Article
18444364241,2-s2.0-18444364241,Jacobs K.L.,Climate science and drought planning: The Arizona experience,26,The University of Arizona,Tucson,United States,Review
0242365665,2-s2.0-0242365665,Banks M.,Disability in the Family: A Life Span Perspective,31,"ABackans DCP, Inc.",Akron,United States,Conference Paper
0042745589,2-s2.0-0042745589,Kopnin E.,"High-pressure synthesis and crystal structures of B<inf>2</inf>Sr<inf>3</inf>(Y,Sr)<inf>2</inf>Cu<inf>3</inf>O<inf>12</inf> and B<inf>2</inf>Sr<inf>3</inf>(Ho,Sr)<inf>2</inf>Cu<inf>3</inf>O<inf>12</inf>",0,Pirelli Cavi S.p.A.,Milan,Italy,Article
0242578575,2-s2.0-0242578575,Fong A.,A hybrid data mining technique for vehicle fault diagnosis,1,School of Computer Science and Engineering,Singapore City,Singapore,Article
2242454173,2-s2.0-2242454173,Pulinets S.A.,Radon and ionosphere monitoring as a means for strong: Earthquakes forecast,12,Russian Academy of Sciences,Moscow,Russian Federation,Article
